"Notes","Cancer Sites","Cancer Sites Code","Year","Year Code","Sex","Sex Code",Count,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"All Invasive Cancer Sites Combined","0","1999","1999","Female","F",631741,140394214,420.5,419.4,421.5,450.0,448.9,451.1
,"All Invasive Cancer Sites Combined","0","1999","1999","Male","M",672530,135067134,572.4,571.0,573.8,497.9,496.7,499.1
,"All Invasive Cancer Sites Combined","0","2000","2000","Female","F",641968,141865770,421.3,420.3,422.4,452.5,451.4,453.6
,"All Invasive Cancer Sites Combined","0","2000","2000","Male","M",690598,136692444,577.0,575.6,578.3,505.2,504.0,506.4
,"All Invasive Cancer Sites Combined","0","2001","2001","Female","F",662313,143603977,427.6,426.6,428.7,461.2,460.1,462.3
,"All Invasive Cancer Sites Combined","0","2001","2001","Male","M",715437,138511984,585.9,584.6,587.3,516.5,515.3,517.7
,"All Invasive Cancer Sites Combined","0","2002","2002","Female","F",667753,144919222,424.7,423.7,425.8,460.8,459.7,461.9
,"All Invasive Cancer Sites Combined","0","2002","2002","Male","M",726967,139847290,582.9,581.5,584.2,519.8,518.6,521.0
,"All Invasive Cancer Sites Combined","0","2003","2003","Female","F",676099,147679036,419.4,418.4,420.4,457.8,456.7,458.9
,"All Invasive Cancer Sites Combined","0","2003","2003","Male","M",732091,142428897,569.5,568.1,570.8,514.0,512.8,515.2
,"All Invasive Cancer Sites Combined","0","2004","2004","Female","F",687327,148977286,420.4,419.4,421.4,461.4,460.3,462.5
,"All Invasive Cancer Sites Combined","0","2004","2004","Male","M",744277,143828012,566.6,565.3,567.9,517.5,516.3,518.7
,"All Invasive Cancer Sites Combined","0","2005","2005","Female","F",702854,150213467,423.4,422.4,424.4,467.9,466.8,469.0
,"All Invasive Cancer Sites Combined","0","2005","2005","Male","M",757694,145099195,564.2,562.9,565.5,522.2,521.0,523.4
,"All Invasive Cancer Sites Combined","0","2006","2006","Female","F",714800,151732647,424.0,423.0,425.0,471.1,470.0,472.2
,"All Invasive Cancer Sites Combined","0","2006","2006","Male","M",782000,146647265,568.8,567.5,570.0,533.3,532.1,534.4
,"All Invasive Cancer Sites Combined","0","2007","2007","Female","F",730953,153166353,426.4,425.4,427.4,477.2,476.1,478.3
,"All Invasive Cancer Sites Combined","0","2007","2007","Male","M",811518,148064854,574.7,573.4,576.0,548.1,546.9,549.3
,"All Invasive Cancer Sites Combined","0","2008","2008","Female","F",749831,154604015,429.8,428.9,430.8,485.0,483.9,486.1
,"All Invasive Cancer Sites Combined","0","2008","2008","Male","M",815324,149489951,562.7,561.5,564.0,545.4,544.2,546.6
,"All Invasive Cancer Sites Combined","0","2009","2009","Female","F",763823,155964075,430.9,429.9,431.9,489.7,488.6,490.8
,"All Invasive Cancer Sites Combined","0","2009","2009","Male","M",819178,150807454,550.7,549.5,552.0,543.2,542.0,544.4
,"All Invasive Cancer Sites Combined","0","2010","2010","Female","F",763382,157253830,423.3,422.4,424.3,485.4,484.4,486.5
,"All Invasive Cancer Sites Combined","0","2010","2010","Male","M",816841,152125599,536.0,534.8,537.2,537.0,535.8,538.1
,"All Invasive Cancer Sites Combined","0","2011","2011","Female","F",780573,158391404,426.6,425.7,427.6,492.8,491.7,493.9
,"All Invasive Cancer Sites Combined","0","2011","2011","Male","M",836042,153455676,535.8,534.6,537.0,544.8,543.6,546.0
,"All Invasive Cancer Sites Combined","0","2012","2012","Female","F",793159,159515612,426.5,425.6,427.5,497.2,496.1,498.3
,"All Invasive Cancer Sites Combined","0","2012","2012","Male","M",814714,154834274,509.2,508.0,510.3,526.2,525.0,527.3
,"All Invasive Cancer Sites Combined","0","2013","2013","Female","F",810890,160594100,429.3,428.4,430.3,504.9,503.8,506.0
,"All Invasive Cancer Sites Combined","0","2013","2013","Male","M",830062,156146649,506.7,505.6,507.8,531.6,530.4,532.7
,"All Invasive Cancer Sites Combined","0","2014","2014","Female","F",827645,161749260,431.2,430.3,432.2,511.7,510.6,512.8
